,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
270,,,,,0.7998,,,,,,,,,,,,,0.8408,,,,,0.9012,,,,0.8192
271,,,,,0.7476,,,,,,,,,,,,,0.8374,,,,,0.919,,,,0.8044
272,,,,,0.926,,,,,,,,,,,,,0.898,,,,,0.9214,,,,0.9222
273,,,,,0.9276,,,,,,,,,,,,,0.9086,,,,,0.9058,,,,0.9234
274,,,,,0.9212,,,,,,,,,,,,,0.8508,,,,,0.9178,,,,0.8916
275,,,,,0.9128,,,,,,,,,,,,,0.9072,,,,,0.9184,,,,0.9192
276,,,,,0.8468,,,,,,,,,,,,,0.9152,,,,,0.8598,,,,0.9296
277,,,,,0.8636,,,,,,,,,,,,,0.9288,,,,,0.8298,,,,0.9306
278,,,,,0.8862,,,,,,,,,,,,,0.9084,,,,,0.9144,,,,0.9052
279,,,,,0.8816,,,,,,,,,,,,,0.9294,,,,,0.8672,,,,0.9228
280,,,,,0.9358,,,,,,,,,,,,,0.928,,,,,0.8828,,,,0.9208
281,,,,,0.9332,,,,,,,,,,,,,0.9304,,,,,0.9324,,,,0.9422
282,,,,,0.934,,,,,,,,,,,,,0.923,,,,,0.9222,,,,0.9128
283,,,,,0.914,,,,,,,,,,,,,0.9148,,,,,0.8336,,,,0.938
284,,,,,0.8896,,,,,,,,,,,,,0.9092,,,,,0.8856,,,,0.9154
285,,,,,0.9312,,,,,,,,,,,,,0.9274,,,,,0.916,,,,0.9078
286,,,,,0.9016,,,,,,,,,,,,,0.8932,,,,,0.932,,,,0.937
287,,,,,0.9284,,,,,,,,,,,,,0.9378,,,,,0.9298,,,,0.928
288,,,,,0.9296,,,,,,,,,,,,,0.9334,,,,,0.9326,,,,0.9338
289,,,,,0.92,,,,,,,,,,,,,0.9398,,,,,0.9176,,,,0.8884
290,,,,,0.9104,,,,,,,,,,,,,0.9336,,,,,0.9078,,,,0.9292
291,,,,,0.9324,,,,,,,,,,,,,0.9272,,,,,0.9308,,,,0.9346
292,,,,,0.9352,,,,,,,,,,,,,0.927,,,,,0.9106,,,,0.9218
293,,,,,0.931,,,,,,,,,,,,,0.9238,,,,,0.8898,,,,0.9186
294,,,,,0.9318,,,,,,,,,,,,,0.929,,,,,0.8422,,,,0.9254
295,,,,,0.933,,,,,,,,,,,,,0.9278,,,,,0.872,,,,0.8892
296,,,,,0.941,,,,,,,,,,,,,0.8642,,,,,0.9078,,,,0.9268
297,,,,,0.934,,,,,,,,,,,,,0.9286,,,,,0.933,,,,0.924
298,,,,,0.9322,,,,,,,,,,,,,0.9284,,,,,0.932,,,,0.8616
299,,,,,0.9298,,,,,,,,,,,,,0.9244,,,,,0.9326,,,,0.9396
300,,,,,0.9378,,,,,,,,,,,,,0.9284,,,,,0.9112,,,,0.9388
301,,,,,0.908,,,,,,,,,,,,,0.932,,,,,0.9136,,,,0.9406
302,,,,,0.9126,,,,,,,,,,,,,0.9314,,,,,0.9024,,,,0.9388
303,,,,,0.8956,,,,,,,,,,,,,0.8884,,,,,0.9016,,,,0.923
304,,,,,0.9076,,,,,,,,,,,,,0.8122,,,,,0.9166,,,,0.9386
305,,,,,0.8958,,,,,,,,,,,,,0.9226,,,,,0.9084,,,,0.9254
